TICK=00027 MPC=028 FETCH_HEADER     PC=0x00000040 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: addr=0x0000003C header=0x00000202 operands=2
TICK=00028 MPC=029 FETCH_OPERAND    PC=0x00000044 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: operand[1]=0x00020402
TICK=00029 MPC=030 FETCH_OPERAND    PC=0x00000048 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: operand[2]=0x00000200
TICK=00030 MPC=031 DECODE           PC=0x00000048 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: MOV [0x0204], R2 ; super=blocked:next-not-eligible
TICK=00031 MPC=032 READ_SOURCE      PC=0x00000048 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: READ_SOURCE: MOV [0x0204], R2
TICK=00032 MPC=033 WRITE_DESTINATION PC=0x00000048 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: MOV [0x0204], R2
TICK=00033 MPC=034 COMMIT           PC=0x00000048 SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: MOV [0x0204], R2
TICK=00034 MPC=035 FETCH_HEADER     PC=0x0000004C SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: addr=0x00000048 header=0x00000001 operands=0
TICK=00035 MPC=036 DECODE           PC=0x0000004C SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: HALT ; super=blocked:control-or-io
TICK=00036 MPC=037 COMMIT           PC=0x0000004C SP=0x00008000 FLAGS=G   R0=0 R1=4 R2=6 R3=0 R4=0 R5=0 :: HALT
