TICK=00032 MPC=033 DECODE           PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00033 MPC=034 READ_LEFT        PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #0
TICK=00034 MPC=035 READ_RIGHT       PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #0
TICK=00035 MPC=036 ALU_SUB          PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #0
TICK=00036 MPC=037 UPDATE_FLAGS     PC=0x000000F0 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #0
TICK=00037 MPC=038 COMMIT           PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00038 MPC=039 FETCH_HEADER     PC=0x000000F4 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F0 header=0x0000010A operands=1
TICK=00039 MPC=040 FETCH_OPERAND    PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00015801
TICK=00040 MPC=041 DECODE           PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00041 MPC=042 READ_TARGET      PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #344
TICK=00042 MPC=043 EVALUATE_BRANCH  PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #344
TICK=00043 MPC=044 COMMIT           PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00044 MPC=045 FETCH_HEADER     PC=0x000000FC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F8 header=0x00000214 operands=2
