TICK=00033 MPC=034 FETCH            PC=0x00000130 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000012C header=0x00000204
TICK=00034 MPC=035 DECODE           PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48 ; super=blocked:data-dependency
TICK=00035 MPC=036 EXEC_ALU_SUB     PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48
TICK=00036 MPC=037 FETCH            PC=0x0000013C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000138 header=0x00000205
TICK=00037 MPC=038 DECODE           PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10 ; super=blocked:data-dependency
TICK=00038 MPC=039 EXEC_ALU_MUL     PC=0x00000144 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10
TICK=00039 MPC=040 FETCH            PC=0x00000148 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000144 header=0x00000203
TICK=00040 MPC=041 DECODE           PC=0x00000150 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1 ; super=blocked:next-not-eligible
TICK=00041 MPC=042 EXEC_ALU_ADD     PC=0x00000150 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1
TICK=00042 MPC=043 FETCH            PC=0x00000154 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000150 header=0x00000109
TICK=00043 MPC=044 DECODE           PC=0x00000158 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JMP #216 ; super=blocked:control-or-io
TICK=00044 MPC=045 EXEC_BRANCH      PC=0x000000D8 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JMP #216
TICK=00045 MPC=046 FETCH            PC=0x000000DC SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000D8 header=0x00000214
TICK=00046 MPC=047 DECODE           PC=0x000000E4 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0] ; super=blocked:control-or-io
TICK=00047 MPC=048 EXEC_LOAD_BYTE   PC=0x000000E4 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0]
TICK=00048 MPC=049 FETCH            PC=0x000000E8 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000E4 header=0x00000208
TICK=00049 MPC=050 DECODE           PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00050 MPC=051 EXEC_COMPARE     PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00051 MPC=052 FETCH            PC=0x000000F4 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F0 header=0x0000010A
TICK=00052 MPC=053 DECODE           PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00053 MPC=054 EXEC_BRANCH      PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00054 MPC=055 FETCH            PC=0x000000FC SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F8 header=0x00000214
TICK=00055 MPC=056 DECODE           PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4] ; super=blocked:control-or-io
TICK=00056 MPC=057 EXEC_LOAD_BYTE   PC=0x00000104 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4]
TICK=00057 MPC=058 FETCH            PC=0x00000108 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000104 header=0x00000208
TICK=00058 MPC=059 DECODE           PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10 ; super=blocked:control-or-io
TICK=00059 MPC=060 EXEC_COMPARE     PC=0x00000110 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10
TICK=00060 MPC=061 FETCH            PC=0x00000114 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000110 header=0x0000010A
TICK=00061 MPC=062 DECODE           PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00062 MPC=063 EXEC_BRANCH      PC=0x00000118 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00063 MPC=064 FETCH            PC=0x0000011C SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000118 header=0x00000208
TICK=00064 MPC=065 DECODE           PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13 ; super=blocked:control-or-io
TICK=00065 MPC=066 EXEC_COMPARE     PC=0x00000124 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13
TICK=00066 MPC=067 FETCH            PC=0x00000128 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000124 header=0x0000010A
TICK=00067 MPC=068 DECODE           PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00068 MPC=069 EXEC_BRANCH      PC=0x0000012C SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: JZ #344
TICK=00069 MPC=070 FETCH            PC=0x00000130 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000012C header=0x00000204
TICK=00070 MPC=071 DECODE           PC=0x00000138 SP=0x00007FFC FLAGS=G   R0=1 R1=48 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48 ; super=blocked:data-dependency
TICK=00071 MPC=072 EXEC_ALU_SUB     PC=0x00000138 SP=0x00007FFC FLAGS=Z   R0=1 R1=0 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48
TICK=00072 MPC=073 FETCH            PC=0x0000013C SP=0x00007FFC FLAGS=Z   R0=1 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000138 header=0x00000205
TICK=00073 MPC=074 DECODE           PC=0x00000144 SP=0x00007FFC FLAGS=Z   R0=1 R1=0 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10 ; super=blocked:data-dependency
TICK=00074 MPC=075 EXEC_ALU_MUL     PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10
TICK=00075 MPC=076 FETCH            PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000144 header=0x00000203
TICK=00076 MPC=077 DECODE           PC=0x00000150 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1 ; super=blocked:next-not-eligible
TICK=00077 MPC=078 EXEC_ALU_ADD     PC=0x00000150 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1
TICK=00078 MPC=079 FETCH            PC=0x00000154 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000150 header=0x00000109
TICK=00079 MPC=080 DECODE           PC=0x00000158 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: JMP #216 ; super=blocked:control-or-io
TICK=00080 MPC=081 EXEC_BRANCH      PC=0x000000D8 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: JMP #216
TICK=00081 MPC=082 FETCH            PC=0x000000DC SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000D8 header=0x00000214
TICK=00082 MPC=083 DECODE           PC=0x000000E4 SP=0x00007FFC FLAGS=G   R0=10 R1=0 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0] ; super=blocked:control-or-io
TICK=00083 MPC=084 EXEC_LOAD_BYTE   PC=0x000000E4 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0]
TICK=00084 MPC=085 FETCH            PC=0x000000E8 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000E4 header=0x00000208
TICK=00085 MPC=086 DECODE           PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00086 MPC=087 EXEC_COMPARE     PC=0x000000F0 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00087 MPC=088 FETCH            PC=0x000000F4 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000000F0 header=0x0000010A
TICK=00088 MPC=089 DECODE           PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344 ; super=blocked:control-or-io
TICK=00089 MPC=090 EXEC_BRANCH      PC=0x000000F8 SP=0x00007FFC FLAGS=G   R0=10 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #344
