TICK=00032 MPC=033 MEM_WRITE_RETURN PC=0x00000038 SP=0x00008000 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: MEM_WRITE_RETURN: CALL #72
TICK=00033 MPC=034 SET_PC           PC=0x00000038 SP=0x00008000 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: SET_PC: CALL #72
TICK=00034 MPC=035 COMMIT           PC=0x00000048 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: CALL #72
TICK=00035 MPC=036 FETCH_HEADER     PC=0x0000004C SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000048 header=0x00000110 operands=1
TICK=00036 MPC=037 FETCH_OPERAND    PC=0x00000050 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00037 MPC=038 DECODE           PC=0x00000050 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: PUSH R1 ; super=blocked:control-or-io
TICK=00038 MPC=039 READ_SOURCE      PC=0x00000050 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: PUSH R1
TICK=00039 MPC=040 STACK_DEC        PC=0x00000050 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: STACK_DEC: PUSH R1
TICK=00040 MPC=041 MEM_WRITE_STACK  PC=0x00000050 SP=0x00007FFC FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: MEM_WRITE_STACK: PUSH R1
TICK=00041 MPC=042 COMMIT           PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: PUSH R1
TICK=00042 MPC=043 FETCH_HEADER     PC=0x00000054 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000050 header=0x00000110 operands=1
TICK=00043 MPC=044 FETCH_OPERAND    PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000200
TICK=00044 MPC=045 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: PUSH R2 ; super=blocked:control-or-io
TICK=00045 MPC=046 READ_SOURCE      PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: PUSH R2
TICK=00046 MPC=047 STACK_DEC        PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=17 R1=2 R2=0 R3=0 R4=0 R5=0 :: STACK_DEC: PUSH R2
