TICK=00000 MPC=001 FETCH_HEADER     PC=0x00000004 SP=0x00008000 FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000000 header=0x00000202 operands=2
TICK=00018 MPC=019 DECODE           PC=0x0000013C SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #0 ; super=blocked:next-not-eligible
TICK=00019 MPC=020 READ_SOURCE      PC=0x0000013C SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_SOURCE: MOV R0, #0
TICK=00020 MPC=021 WRITE_DESTINATION PC=0x0000013C SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: MOV R0, #0
TICK=00021 MPC=022 COMMIT           PC=0x0000013C SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: MOV R0, #0
TICK=00022 MPC=023 FETCH_HEADER     PC=0x00000140 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000013C header=0x00000214 operands=2
TICK=00023 MPC=024 FETCH_OPERAND    PC=0x00000144 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00024 MPC=025 FETCH_OPERAND    PC=0x00000148 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00FFF002
TICK=00025 MPC=026 DECODE           PC=0x00000148 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0] ; super=blocked:control-or-io
TICK=00026 MPC=027 READ_BYTE_SOURCE PC=0x00000148 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [0xFFF0]
TICK=00027 MPC=028 WRITE_DESTINATION PC=0x00000148 SP=0x00007FFC FLAGS=-   R0=0 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [0xFFF0]
TICK=00028 MPC=029 COMMIT           PC=0x00000148 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0]
TICK=00029 MPC=030 FETCH_HEADER     PC=0x0000014C SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000148 header=0x00000208 operands=2
TICK=00030 MPC=031 FETCH_OPERAND    PC=0x00000150 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00031 MPC=032 FETCH_OPERAND    PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
TICK=00032 MPC=033 DECODE           PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00033 MPC=034 READ_LEFT        PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #0
TICK=00034 MPC=035 READ_RIGHT       PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #0
TICK=00035 MPC=036 ALU_SUB          PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #0
TICK=00036 MPC=037 UPDATE_FLAGS     PC=0x00000154 SP=0x00007FFC FLAGS=-   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #0
TICK=00037 MPC=038 COMMIT           PC=0x00000154 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00038 MPC=039 FETCH_HEADER     PC=0x00000158 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000154 header=0x0000010A operands=1
TICK=00039 MPC=040 FETCH_OPERAND    PC=0x0000015C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x0001D001
TICK=00040 MPC=041 DECODE           PC=0x0000015C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #464 ; super=blocked:control-or-io
TICK=00041 MPC=042 READ_TARGET      PC=0x0000015C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #464
TICK=00042 MPC=043 EVALUATE_BRANCH  PC=0x0000015C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #464
TICK=00043 MPC=044 COMMIT           PC=0x0000015C SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: JZ #464
TICK=00044 MPC=045 FETCH_HEADER     PC=0x00000160 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000015C header=0x00000214 operands=2
TICK=00045 MPC=046 FETCH_OPERAND    PC=0x00000164 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00046 MPC=047 FETCH_OPERAND    PC=0x00000168 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00FFF402
TICK=00047 MPC=048 DECODE           PC=0x00000168 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4] ; super=blocked:control-or-io
TICK=00048 MPC=049 READ_BYTE_SOURCE PC=0x00000168 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [0xFFF4]
TICK=00049 MPC=050 WRITE_DESTINATION PC=0x00000168 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [0xFFF4]
TICK=00050 MPC=051 COMMIT           PC=0x00000168 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF4]
TICK=00051 MPC=052 FETCH_HEADER     PC=0x0000016C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000168 header=0x00000208 operands=2
TICK=00052 MPC=053 FETCH_OPERAND    PC=0x00000170 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00053 MPC=054 FETCH_OPERAND    PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00002001
TICK=00054 MPC=055 DECODE           PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #32 ; super=blocked:control-or-io
TICK=00055 MPC=056 READ_LEFT        PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #32
TICK=00056 MPC=057 READ_RIGHT       PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #32
TICK=00057 MPC=058 ALU_SUB          PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #32
TICK=00058 MPC=059 UPDATE_FLAGS     PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #32
TICK=00059 MPC=060 COMMIT           PC=0x00000174 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #32
TICK=00060 MPC=061 FETCH_HEADER     PC=0x00000178 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000174 header=0x0000010A operands=1
TICK=00061 MPC=062 FETCH_OPERAND    PC=0x0000017C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x0001D001
TICK=00062 MPC=063 DECODE           PC=0x0000017C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464 ; super=blocked:control-or-io
TICK=00063 MPC=064 READ_TARGET      PC=0x0000017C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #464
TICK=00064 MPC=065 EVALUATE_BRANCH  PC=0x0000017C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #464
TICK=00065 MPC=066 COMMIT           PC=0x0000017C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464
TICK=00066 MPC=067 FETCH_HEADER     PC=0x00000180 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000017C header=0x00000208 operands=2
TICK=00067 MPC=068 FETCH_OPERAND    PC=0x00000184 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00068 MPC=069 FETCH_OPERAND    PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000A01
TICK=00069 MPC=070 DECODE           PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10 ; super=blocked:control-or-io
TICK=00070 MPC=071 READ_LEFT        PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #10
TICK=00071 MPC=072 READ_RIGHT       PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #10
TICK=00072 MPC=073 ALU_SUB          PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #10
TICK=00073 MPC=074 UPDATE_FLAGS     PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #10
TICK=00074 MPC=075 COMMIT           PC=0x00000188 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #10
TICK=00075 MPC=076 FETCH_HEADER     PC=0x0000018C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000188 header=0x0000010A operands=1
TICK=00076 MPC=077 FETCH_OPERAND    PC=0x00000190 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x0001D001
TICK=00077 MPC=078 DECODE           PC=0x00000190 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464 ; super=blocked:control-or-io
TICK=00078 MPC=079 READ_TARGET      PC=0x00000190 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #464
TICK=00079 MPC=080 EVALUATE_BRANCH  PC=0x00000190 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #464
TICK=00080 MPC=081 COMMIT           PC=0x00000190 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464
TICK=00081 MPC=082 FETCH_HEADER     PC=0x00000194 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000190 header=0x00000208 operands=2
TICK=00082 MPC=083 FETCH_OPERAND    PC=0x00000198 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00083 MPC=084 FETCH_OPERAND    PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000D01
TICK=00084 MPC=085 DECODE           PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13 ; super=blocked:control-or-io
TICK=00085 MPC=086 READ_LEFT        PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #13
TICK=00086 MPC=087 READ_RIGHT       PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #13
TICK=00087 MPC=088 ALU_SUB          PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #13
TICK=00088 MPC=089 UPDATE_FLAGS     PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #13
TICK=00089 MPC=090 COMMIT           PC=0x0000019C SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #13
TICK=00090 MPC=091 FETCH_HEADER     PC=0x000001A0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000019C header=0x0000010A operands=1
TICK=00091 MPC=092 FETCH_OPERAND    PC=0x000001A4 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x0001D001
TICK=00092 MPC=093 DECODE           PC=0x000001A4 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464 ; super=blocked:control-or-io
TICK=00093 MPC=094 READ_TARGET      PC=0x000001A4 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JZ #464
TICK=00094 MPC=095 EVALUATE_BRANCH  PC=0x000001A4 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JZ #464
TICK=00095 MPC=096 COMMIT           PC=0x000001A4 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: JZ #464
TICK=00096 MPC=097 FETCH_HEADER     PC=0x000001A8 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: addr=0x000001A4 header=0x00000204 operands=2
TICK=00097 MPC=098 FETCH_OPERAND    PC=0x000001AC SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00098 MPC=099 FETCH_OPERAND    PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00003001
TICK=00099 MPC=100 DECODE           PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48 ; super=blocked:data-dependency
TICK=00100 MPC=101 READ_LEFT        PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: SUB R1, #48
TICK=00101 MPC=102 READ_RIGHT       PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: SUB R1, #48
TICK=00102 MPC=103 ALU_SUB          PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: SUB R1, #48
TICK=00103 MPC=104 WRITE_BACK       PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: SUB R1, #48
TICK=00104 MPC=105 UPDATE_FLAGS     PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=49 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: SUB R1, #48
TICK=00105 MPC=106 COMMIT           PC=0x000001B0 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: SUB R1, #48
TICK=00106 MPC=107 FETCH_HEADER     PC=0x000001B4 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000001B0 header=0x00000205 operands=2
TICK=00107 MPC=108 FETCH_OPERAND    PC=0x000001B8 SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00108 MPC=109 FETCH_OPERAND    PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000A01
TICK=00109 MPC=110 DECODE           PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10 ; super=blocked:data-dependency
TICK=00110 MPC=111 READ_LEFT        PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: MUL R0, #10
TICK=00111 MPC=112 READ_RIGHT       PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: MUL R0, #10
TICK=00112 MPC=113 ALU_MUL          PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ALU_MUL: MUL R0, #10
TICK=00113 MPC=114 WRITE_BACK       PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: MUL R0, #10
TICK=00114 MPC=115 UPDATE_FLAGS     PC=0x000001BC SP=0x00007FFC FLAGS=G   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: MUL R0, #10
TICK=00115 MPC=116 COMMIT           PC=0x000001BC SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: MUL R0, #10
TICK=00116 MPC=117 FETCH_HEADER     PC=0x000001C0 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000001BC header=0x00000203 operands=2
TICK=00117 MPC=118 FETCH_OPERAND    PC=0x000001C4 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000000
TICK=00118 MPC=119 FETCH_OPERAND    PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000100
TICK=00119 MPC=120 DECODE           PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1 ; super=blocked:next-not-eligible
TICK=00120 MPC=121 READ_LEFT        PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: ADD R0, R1
TICK=00121 MPC=122 READ_RIGHT       PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: ADD R0, R1
TICK=00122 MPC=123 ALU_ADD          PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: ALU_ADD: ADD R0, R1
TICK=00123 MPC=124 WRITE_BACK       PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_BACK: ADD R0, R1
TICK=00124 MPC=125 UPDATE_FLAGS     PC=0x000001C8 SP=0x00007FFC FLAGS=Z   R0=0 R1=1 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: ADD R0, R1
TICK=00125 MPC=126 COMMIT           PC=0x000001C8 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: ADD R0, R1
TICK=00126 MPC=127 FETCH_HEADER     PC=0x000001CC SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x000001C8 header=0x00000109 operands=1
TICK=00127 MPC=128 FETCH_OPERAND    PC=0x000001D0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00013C01
TICK=00128 MPC=129 DECODE           PC=0x000001D0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JMP #316 ; super=blocked:control-or-io
TICK=00129 MPC=130 READ_TARGET      PC=0x000001D0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_TARGET: JMP #316
TICK=00130 MPC=131 EVALUATE_BRANCH  PC=0x000001D0 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: EVALUATE_BRANCH: JMP #316
TICK=00131 MPC=132 COMMIT           PC=0x0000013C SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: JMP #316
TICK=00132 MPC=133 FETCH_HEADER     PC=0x00000140 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000013C header=0x00000214 operands=2
TICK=00133 MPC=134 FETCH_OPERAND    PC=0x00000144 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00134 MPC=135 FETCH_OPERAND    PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00FFF002
TICK=00135 MPC=136 DECODE           PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0] ; super=blocked:control-or-io
TICK=00136 MPC=137 READ_BYTE_SOURCE PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [0xFFF0]
TICK=00137 MPC=138 WRITE_DESTINATION PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [0xFFF0]
TICK=00138 MPC=139 COMMIT           PC=0x00000148 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [0xFFF0]
TICK=00139 MPC=140 FETCH_HEADER     PC=0x0000014C SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000148 header=0x00000208 operands=2
TICK=00140 MPC=141 FETCH_OPERAND    PC=0x00000150 SP=0x00007FFC FLAGS=G   R0=1 R1=1 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
