TICK=00033 MPC=034 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00034 MPC=035 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00035 MPC=036 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00036 MPC=037 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00037 MPC=038 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00038 MPC=039 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00039 MPC=040 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00040 MPC=041 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00041 MPC=042 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00042 MPC=043 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00043 MPC=044 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=513 R1=101 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00044 MPC=045 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00045 MPC=046 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00046 MPC=047 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00047 MPC=048 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00048 MPC=049 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00049 MPC=050 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=101 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00050 MPC=051 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00051 MPC=052 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00052 MPC=053 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00053 MPC=054 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00054 MPC=055 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00055 MPC=056 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00056 MPC=057 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00057 MPC=058 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00058 MPC=059 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00059 MPC=060 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00060 MPC=061 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00061 MPC=062 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=514 R1=108 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00062 MPC=063 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00063 MPC=064 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00064 MPC=065 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00065 MPC=066 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00066 MPC=067 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00067 MPC=068 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00068 MPC=069 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00069 MPC=070 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00070 MPC=071 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00071 MPC=072 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00072 MPC=073 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00073 MPC=074 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00074 MPC=075 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00075 MPC=076 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00076 MPC=077 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00077 MPC=078 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00078 MPC=079 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00079 MPC=080 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=515 R1=108 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00080 MPC=081 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00081 MPC=082 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00082 MPC=083 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00083 MPC=084 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00084 MPC=085 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00085 MPC=086 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=516 R1=108 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00086 MPC=087 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00087 MPC=088 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00088 MPC=089 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00089 MPC=090 EXEC_COMPARE     PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0
TICK=00090 MPC=091 FETCH            PC=0x00000048 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000044 header=0x0000010A
TICK=00091 MPC=092 DECODE           PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: JZ #108 ; super=blocked:control-or-io
TICK=00092 MPC=093 EXEC_BRANCH      PC=0x0000004C SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: JZ #108
TICK=00093 MPC=094 FETCH            PC=0x00000050 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000004C header=0x00000215
TICK=00094 MPC=095 DECODE           PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1 ; super=blocked:control-or-io
TICK=00095 MPC=096 EXEC_STORE_BYTE  PC=0x00000058 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: STOREB [0xFFF8], R1
TICK=00096 MPC=097 FETCH            PC=0x0000005C SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000058 header=0x00000203
TICK=00097 MPC=098 DECODE           PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=516 R1=111 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1 ; super=blocked:next-not-eligible
TICK=00098 MPC=099 EXEC_ALU_ADD     PC=0x00000064 SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: ADD R0, #1
TICK=00099 MPC=100 FETCH            PC=0x00000068 SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000064 header=0x00000109
TICK=00100 MPC=101 DECODE           PC=0x0000006C SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: JMP #44 ; super=blocked:control-or-io
TICK=00101 MPC=102 EXEC_BRANCH      PC=0x0000002C SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: JMP #44
TICK=00102 MPC=103 FETCH            PC=0x00000030 SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: addr=0x0000002C header=0x00000214
TICK=00103 MPC=104 DECODE           PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=517 R1=111 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0] ; super=blocked:control-or-io
TICK=00104 MPC=105 EXEC_LOAD_BYTE   PC=0x00000038 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00105 MPC=106 FETCH            PC=0x0000003C SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208
TICK=00106 MPC=107 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=G   R0=517 R1=44 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
