TICK=00033 MPC=034 READ_BYTE_SOURCE PC=0x00000038 SP=0x00007FF8 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: READ_BYTE_SOURCE: LOADB R1, [R0]
TICK=00034 MPC=035 WRITE_DESTINATION PC=0x00000038 SP=0x00007FF8 FLAGS=-   R0=512 R1=0 R2=0 R3=0 R4=0 R5=0 :: WRITE_DESTINATION: LOADB R1, [R0]
TICK=00035 MPC=036 COMMIT           PC=0x00000038 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: LOADB R1, [R0]
TICK=00036 MPC=037 FETCH_HEADER     PC=0x0000003C SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: addr=0x00000038 header=0x00000208 operands=2
TICK=00037 MPC=038 FETCH_OPERAND    PC=0x00000040 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[1]=0x00000100
TICK=00038 MPC=039 FETCH_OPERAND    PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: operand[2]=0x00000001
TICK=00039 MPC=040 DECODE           PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: CMP R1, #0 ; super=blocked:control-or-io
TICK=00040 MPC=041 READ_LEFT        PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_LEFT: CMP R1, #0
TICK=00041 MPC=042 READ_RIGHT       PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: READ_RIGHT: CMP R1, #0
TICK=00042 MPC=043 ALU_SUB          PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: ALU_SUB: CMP R1, #0
TICK=00043 MPC=044 UPDATE_FLAGS     PC=0x00000044 SP=0x00007FF8 FLAGS=-   R0=512 R1=72 R2=0 R3=0 R4=0 R5=0 :: UPDATE_FLAGS: CMP R1, #0
